indexid,filename,title,creator,date,description,subject,place,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
teamgarb001,teamgarb001.jpg,1920s Campus model (WSU),"Huckle, Myron S.",1926,"Image of a model of the WSU campus, which was constructed by Edward Holien and Jack Rolf.","architectural model
models; builder's model; campus; team-garbanzo","Pullman, WA",46.729777,-117.181738,Myron Samuel Huckle Photographs of Washington State University,,image; Black-and-white photographs,image/jpeg,Eng,,
teamgarb002,teamgarb002.jpg,1924 Photograph of Carpenter Hall (WSU),"Huckle, Myron S.",1924,Photograph of main engineering building (Carpenter Hall at WSU). ,college buildings; university and college building; state university (building); team-garbanzo,"Pullman, WA",46.730435,-117.164256,Myron Samuel Huckle Photographs of Washington State University,,image; Black-and-white photographs,image/jpeg,Eng,,
teamgarb003,teamgarb003.jpg,1924 Photograph of College Hall (Education at WSU),"Huckle, Myron S.",1924,Photograph of College Hall (Education building at WSU).,college buildings; university and college building; state university (building); team-garbanzo,"Pullman, WA",46.730435,-117.164256,Myron Samuel Huckle Photographs of Washington State University,,image; Black-and-white photographs,image/jpeg,Eng,,
teamgarb004,teamgarb004.jpg,1924 Photograph of Wilson Hall (Agriculture at WSU),"Huckle, Myron S.",1924,Photograph of Wilson Hall (Agriculture building at WSU).,college buildings; university and college building; state university (building); team-garbanzo,"Pullman, WA",46.730435,-117.164256,Myron Samuel Huckle Photographs of Washington State University,,image; Black-and-white photographs,image/jpeg,Eng,,
teamgarb005,teamgarb005.pdf,1979 Cover illustration for MosCon 1,"Schomburg, Alex",1979,Front cover illustration for MosCon 1.,"fiction, science; graphic art; comics; team-garbanzo","Moscow, ID",46.732387,-117.000165,Victoria Mitchell Collection,,text; conference,application/pdf,Eng,,
teamgarb006,teamgarb006.jpg,1937 Portrait of Edward E. Smith,,1937-08-28,"Portrait of Edward E. Smith, inscribed to Dick Dodson, August 28, 1937.",Studio Portraits; Science-Fiction Author; team-garbanzo,,,,E. E. Smith,,Image; Photographs,image/jpeg,Eng,,
teamgarb007,teamgarb007.pdf,1931 Edward E. Smith Letter to Richard Dodson,Edward E. Smith,1931-05-09,"Typed letter from Edward E. Smith, responding to Richard Dodson, describing science fiction writing approach.",Science-Fiction Author; letters (correspondence); team-garbanzo,"Hillsdale, MI",41.921568,-84.638773,E. E. Smith,,Text; Correspondence,application/pdf,Eng,,
teamgarb008,teamgarb008.pdf,1932 Edward E. Smith Post Card to Richard Dodson,Edward E. Smith,1932-01-09,"Hand-written postcard from Edward E. Smith to Richard Dodson, discussing science fiction works and upcoming publications.",Science-Fiction Author; letters (correspondence); team-garbanzo,"Hillsdale, MI",41.921568,-84.638773,E. E. Smith,,Text; Correspondence,application/pdf,Eng,,
teamgarb009,teamgarb009.pdf,1945 Heart Mountain Carpenters Club Directory of Members,Heart Mountain Carpenters Club,1945-03,Hand-written and illustrated Heart Mountain Carpenters Club Directory.,Japanese- American Incarceration; Commercial Directories; team-garbanzo,"Heart  Mountain Relocation Center, Wyoming",41.921568,-84.638773,Tom Hide,"Heart Mountain Directories, 9 [1]",Directory,application/pdf,Jpn,,
teamgarb010,teamgarb010.pdf,1945 Heart Mountain Directory,Heart Mountain Sentinel Japanese Language Division,1945,1945 Heart Mountain Directory.,Japanese- American Incarceration; Directories; team-garbanzo,"Heart  Mountain Relocation Center, Wyoming",41.921568,-84.638773,Tom Hide,"Heart Mountain Directories, 10",Directory,application/pdf,Jpn,,
